بی حال و سست	کسل
گوشه در ورزش فوتبال	کرنر
تازه و جدید	بکر
بانوي تيرانداز کشورمان	الههاحمدی
دلیر و شجاع	دلاور
چهارنعل رفتن‌اسب	یورتمه
دعوت شده	دعوتی
زنخدان	چانه
بزرگواری و جوانمردی	مکرمت
قدم  یک پا	لی
از اصطلاحات فوتبال	پنالتی
مورد نفرت	منفور
زغال اخته	قرانیا
مالیات زورکی	باج
از شهرهای صنعتی انگلیس	منچستر
مرغ می‌رود!	جا
نشانه رضایت است	سکوت
رده و رسته	ردیف
راسو	نرس
با تکبّر و حس برتری رفتار کردن	فخرفروشی
بزرگ‌ترین شاعر نیکاراگوآ	داریو
فوری	انی
نام سینا دانشمند ایرانی	بوعلی
جسم غیر هادی	نارسانا
address	نشانی
توجه کردن به جایی	رونهادن
عقاب	الغ
عنکبوت	تارتن
ار بلایای طبیعی	سیل
بذر	تخم
معشوقه رامین	ویس
دفاع فوتبال	بک
نوعی خواهر و برادر	ناتنی
بنگاه کسب و کار خرد	صنایعکوچک
از اقوام لبنانی	ماروند
قیمت بازار	نرخ
بندری در اوکراین	یالتا
مجوز حمل کالا	بارنامه
نمایش نامه اى از آریستوفان	ابرها
منطقه‌ای در اروپا	بریتانیا
خرد و کوچک	ریز
نوعی موشک	تاو
خطر پذیری	ریسک
از نوابغ کامپیوتر جهان	بیلگیتز
مُهر و موم	پلمپ
سالها میگذره تا شنبه ........ بیفته !	بهنوروز
عدد دورقمی	نود
فیلسوف فرانسوی	روسو
مارکي بر اتومبيل	لنسر
آسان شدن	سهولت
حرف13 انگلیسی	ام
شدیدتر	اشد
صدمه دیده	مصدوم
قطر داخلی لوله تفنگ	کالیبر
Saturday	شنبه
اخمو	ترشروی
سکرتر	منشی
یگانگی	وحدانیت
لگام	ستام
توی هفت آسمون ، ........... نداشتن	یکستاره
طرح شکایت	ادعا
امید و آرزو	بو
از پادشاهان یونان قدیم	اتیا
گرفته شده از چیزی	مشتق
جمع استاد	اساتید
کوچک و ظریف	مچول
آشکار	نهارا
منظره و نما	ویو
از شهرهای هرمزگان	میناب
مراوده	امدورفت
مجموع یک دنباله‌ از گزاره‌ها	سری
وزیر خشایارشا	هامان
زخم عفونی شده	دمل
digit	رقم
پرتونگاری	رادیوگرافی
خشکی میان دریا	جزیره
به دست آوردن	دستیابی
شکار	صید
بازاريابي شبکه اي	نتورک
كودكي كه  از پا متولد شود	نتی
اثری از شیخ طوسی	الرجال
موسسه امدادجهانی	صلیبسرخ
از شهرهای خراسان	چناران
موجود فرازميني سينمايي	ایتی
نان فانتزی فرنگی	دونات
گلی خوشبو	نرگس
محصول ‌عقل	فکر
recently	اخیرا
اثری از مهری رحمانی	شبابی
موجودی که در آب زندگی می کند	ابزی
حتمی	قطعی
خاک نرم و سرخ	رس
جامعه مردم	اجتماع
عناصر نمک ساز	هالوژن
روستايي در گيلان	لاکان
متداول	رایج
مخفف لیکن	لکن
نت ششم	لا
کارگردان ایتالیایی	فلینی
توقفگاه ستوران	ابانداز
سال 1400 به نام این حیوان است	سالگاو
تابلویی از لوکاس کراناک	ادموحوا
چاپگر	پرینتر
منسوب به ادب	ادبی
الفبای ساز	نت
نت قبل سل	فا
ابزار	وسایل
سدی در استان اردبیل	اربابکندی
هر 12 ماه یکبار	سالانه
نام شرینگ هام	تدی
هم‌داستان کلیله	دمنه
بخار دهان	ها
شلوار	تنبان
برگ برنده	اتو
ساقه زیرزمینی بعضی گیا‌هان	ریزوم
زن گندم گون	سمرا
درستی	ارتا
چهره و رخساره	دیمر
مهربانی	رافت
نفی عرب	لا
زیبا و خوب رو	ملاحت
رسیدن به سن رشد	بلوغ
سریالی از رضا عطاران	بزنگاه
dishonor	ننگ
895	تهمتن
کاشف نفت در ایران	دارسی
معادل فارسی اندیکاتورنویس	نمانویس
پرستار کودک	لله
کشتارگاه	مسلخ
بزرگتر	اعظم
جنس تایر	لاستیک
اروپا	فرنگ
شکارچی و صیاد	دامیار
داروی مایع	شربت
فضا و آسمان	کیهان
قومی ایرانی	لر
افزونی	مزید
فيلمي از مسعود مددي	گیتا
از ماه های رومی	نیسان
بیماری تنفسی	اسم
ژست هنرپیشه	میمیک
دریاچه‌ای در روسیه	اونگا
کشوری در غرب آفریقا	بنین
گشایش در کار	فرج
عدد به هم زدنی	دو
دختر کوروش کبیر	اتوسا
دارای نماینده	موکل
مجلات معتبر ورزشی	کیکر
رمان سلما لاگرلف سوئدي	ویولندیوانه
از ادات پرسش	کدام
توشه و خوراک	زاد
رشته کوه آمریکای شمالی	راکی
شهری در کردستان	قروه
اثر تاریخی استان بوشهر	دژبرازجان
ابریشم پست	لاس
نیکی	خوبی
کشور آسیایی	کویت
کرسی سخنرانی	تریبون
پزشک سلطان محمود غزنوی	ابوالعلایطبیب
همنام	اتاش
از حروف ندا است	هیا
حرف‌های بیهوده ‌زند	یاوهگوی
نیم تنه مردانه	کت
خریدنی از مغازه	جنس
باد	ریح
دشوار و مشکل	غامض
محاسن صورت	ریش
یکی دیگر از کنیه های مبارک حضرت فاطمه(س)	امالحسین
بانک خانگی	قلک
بچه می‌کشد	قد
ساربان	شتردار
ف ک ه	کفه
بدهکار	وامدار
دریاچه ای در سوییس	لمان
اثر معروف ژول ورن	سفربهمرکززمین
خدا به زبان عبری	یهوه
خویشاوندی	نسب
نگهبان شتر	ساربان
پول کاغذی	اسکناس
زن اسکندر	تاییس
مردان بی‌زن	ارامل
ترسو	اهودل
ناشناخته	نکره
انجام دهنده کاری ناروا	مرتکب
از فرزندان حضرت یعقوب(ع)	لاوی
رقص اصیل سیستانی	رقصشمشیر
معادل فارسی قاره	خشکاد
شهری در استان آذربایجان شرقی	مرند
مقابل رویه لباس	استر
کشور فروپاشیده	شوروی
جا به جا کردن	ترانسفر
کدو تنبل	اج
چین و چروک	گرنج
سالک و مسافر	رهرو
قله	چکاد
جسد	میت
واحد بزرگ برای مصرف الكتریسیته	مگاوات
جزیره ایرانی استان هرمزگان	سیری
از بیماری‌ها	اریتمیقلب
مزرعه و جالیز	کشتزار
از کوه‌های شهر توکیو	میتاکه
کفاش	اسکاف
چراغدان	مشعل
مرد بی‌ریش	امرد
از نهادهای نظامی ایران	سپاه
بالندگی	رشد
لحظه	ان
during	درطول
خوشحال	شاد
زرنگ	زبل
دلیر	نیرم
از سازهای موسیقی	ماندولین
پوشاک گردن	شال
کنده کاری روی چوب	منبت
مخالف شب	روز
گلاویز شدن	یازیدن
طلاق گرفتن	متارکه
پاسخ بی ادبانه	ها
افترا و تهمت	بهتان
برداشتن	سلب
منتخب مردم در مجلس	نماینده
چند مرحله	مراحل
سیلی	چک
سنگ سرمه	کالامین
پایان زندگی	مرگ
از دنیا رفتن	مردن
زن باحجاب	مخدره
فرد و نفر	شخص
نشان و علامت	وشم
دانایی و علم	حکمت
جایگاه مخصوص	لژ
کج	ناراست
شاخه‌ باریک و دراز که از درخت بریده باشند	ترکه
طعنه خور سیر	پیاز
پاکی و درستی	اشا
گونه صورت	لپ
توانگری و استغنا	بینیازی
تاسیس کننده	موسس
کمبود	نقص
حیوانات دارند	دم
الهه شکار یونان	دیانا
تابان	رخشان
از اسطوره های یونانی	ادونیس
شکاف باریک	درز
نوعی سبک موسیقی	پر
گورستان	قبرستان
هدیه و چشم‌روشنی	کادو
15	علی
زخمی	ریشی
ناحیه	جناح
پارسا	متورع
55	لوطی
قوم آتیلا	هون
فدراسیون بین‌المللی اتومبیل‌رانی	فیا
معادل فارسی پرایس لیست	بهانامه
تازه راه افتاده	نوپا
پایین رفتن آب دریا	جزر
گونه ها	انواع
زمین‌ شوی دسته‌ دار	تی
گوسفند جنگی	راک
صفت باد	وزان
بلند طبع	والامنش
مأوا و مسکن	قرارگاه
درگاه و جلوخانه	کریاس
اثری از علی اصغر شیرزادی	طبلاتش
پرنده ای از نوع مرغابی	واک
تظاهر کردن	وانمود
جوش چرکی	کورک
خرمن گندم	بنو
از سازهای بادی	توبا
کنایه از پر حرف	رودهدراز
سرپرست و قیم	وصی
تکدی کردن	گدایی
شهري در انگلستان	همپشایر
چین و شکن	شکنج
لجن	حما
واحد پول فنلاند	مارکا
روشنایی	ضیا
خرده و تکه	ریزه
حیوان استرالیایی	کانگورو
درویش و صوفی	قلندر
واگذاری	وقف
کالبد	جسد
ضروری و بایسته	وایا
پول ضربی	سکه
رهبر و پیشوای مذهبی	امام
نام درختی هندی	امله
از شهرهای استان زنجان	هیدج
قبل از ثانیا	اولا
بیماری آبله، سرب	انک
مأمور تحقیق	بازجو
تکرار حرف	نن
خوی اش عدالت است	دادخو
زبانه آتش	لهب
صحراها	بوادی
از محله های تهران	اقدسیه
آسایش و آسودگی	ارامش
فایده و نفع	سود
پذیرش سیاسی	اگرمان
غیر طبیعی	انرمال
واحدی برای لیتر	سیسی
سازنده بهشت خیالی	شداد
بلندترین قله قاره آمریکا	اکونکاگوا
از پوشاک زنانه	روسری
ستودن	احماد
سریالی با بازی امین حیایی و محمدرضا گلزار	ساختایران
پیشکار	مباشر
سرچسب بهادار گمرکی	باندرول
حلقه زینتی انگشت	انگشتر
نهی کننده	ناهی
هم چندي هاي جبري	معادلات
خویشاوندی	صهر
عقيم و نازا	استرون
باطل کردن	بههمزدن
رمان معروف شولوخف	دنارام
آسانسور	اسانبر
تیره و تاریک	ظلمانی
سروش غیبی	هاتف
آن‌که نظم و امنیت جامعه را برهم می‌زند	اخلالگر
نوعی بستنی سنتی	نونی
شهری در روسیه	قازان
A river in Russia	دن
آشوب	بلوا
از نام‌های مبارک پیامبر اکرم(ص)	احمد
اثر تاریخی انگلیس	کاخوستمینستر
محصول کار	عرق
فرمان متکبرانه	ارد
پیش درآمد استاندارد اروپایی	ایزو
پایتخت چاد	انجامنا
ضمیمه کردن	انضمام
از سازهای قدیمی هندی	وینا
16	بدی
تمیز	پاکیزه
پله‌پله بالا رفتن	تدریج
کبودی اندک در پوست	نیلک
نوعی ماکارونی	شکلی
سقز	قندرون
مجموعه نمایشی به کارگردانی کیارش اسدی‌زاده	کرگدن
حرف مثلثی شکل یونانی	دلتا
آوازخوان	خنیاگر
از نسل آریا	ارین
صفحه نوشتار	لوحه
از میوه‌ها	ازگیل
مقدس ترین مسجد پس از مسجدالحرام	مسجدالنبی
استان نزدیک ‌تهران	قم
از القاب دیگر حضرت عباس(ع)	سقایکربلا
انگل خوک	تریشین
شهري در فرانسه	اود
پرخطر	ناامن
عقب	پس
پل تاریخی بندرعباس	لاتیدان
جای ریختن خاکروبه و زباله	شوله
بله شیرازی	ها
حامی	پناه
از آثار تاریخی حوالی شهر خوی	دژبسطام
snatch	ربودن
موجب سرافکندگی	شرماور
نویسنده اثر تاریخ فلسفه غرب	راسل
با خشم	بهقهر
قوه و پیل خشک	باتری
tail	دم
گشاینده	باسط
مذمت به شعر	هجو
زن زیبای بهشتی	حوری
نوعی ضربه پا به سر در تکواندو	نریو
فرزند طهمورث	جمشید
معادل فارسی میکروفیش	ریزبرگه
مجموعه	ست
نوشیدنی چینی ضد سرطان	چایسبز
کمان حلاجی	لورک
5	واو
امور مهم	مهمات
حسود و بدخواه	حاسد
زرنگ و چالاک	زبل
وقت گذرانی	لهو
ردیف	رسته
بنیادی و اصولی	اساسی
مقابل وارد	صادر
سیر کوهی	موسیر
عقیم و سترون	نازا
عَلَم و پرچم	رایت
توسل به ديگري	رویاوری
بلبل	عندلیب
بخشنده است و از صفات خدا	رحمان
موبد موبدان آتشکده آذرگشسب	بافرغ
پرس و جو از متهم	بازجویی
درندگان	وحوش
از شهدای صدر اسلام	یاسر
نوعی طاق محدب آجری	ضربی
عمل و رفتار	کردار
بندگان	عباد
ناپاکی	الایش
سزاوار	روا
اثری از فدریکو گارسیالورکا	یرما
ترشح کننده	تراوا
غلاف خشخاش	کوکنار
سرلشکر نیروی دریایی	دریابان
زمین دار بزرگ	ملاک
قسمتی از تخم مرغ	زرده
کاشانه و مسکن	سرا
پیمان بستن	بیعت
لال و بی زبان	گنگ
چهره نما	اینه
درخت همیشه سبز	سرو
مانع درآمد دیگران	نانبر
عنصر شماره 49اتمی	ایندیوم
پسر نیست	دختر
دیکتاتور انگلیسی	کرامول
درو کردن	درودن
فیلمی از منوچهر مصیری	دنیا
هر دو بخش دستگاه تنفس	ریتین
چاپارخانه امروزی	پست
نمی سوزد	نسوز
honest	راستگو
شهری در استان مرکزی	اشتیان
کارها	امور
آب ولرم	فاتور
جانور مرده‌خوار	کفتار
کاسه سر	جمجمه
حریق	اتشسوزی
وقت و زمان	گاه
پایان نامه 	تز
چشمه پر آب	فیاض
31	ال
دستگاه نان برشته کن	توستر
متظاهر و منافق	دورو
Brother	برادر
صاحب مقام و زمین و رعیت	فیودال
برگزیده شده	منتخب
وراج	پرحرف
راه رفتن کودکانه	تاتی
کیسه پول	همیان
افسانه گو	سامر
جمع مولود	موالید
ماشین نویس	تایپیست
مکعب فکری	روبیک
معده اتومبیل	باک
مقابل رو	زیر
روز بعد از امروز	فردا
برادر مازندرانی	برار
از صور فلکی	ثور
از پرندگان	پلیکان
ر ی (درهم ریخته)	ری
استان کویری	یزد
میدان قدیمی‌ رشت	سبزهمیدان
نوعی اسلحه کمری	رولور
شرط بستن	رهان
انحراف فکری	کجاندیشی
نامی دخترانه	فرشته
حکومت اتحادیه‌ای	فدرال
خوب	وشت
زهر سقراط	شوکران
قمر برجیس	لدا
از صفات خدای تعالی	واحد
مثل شخص فراری از دیگران	مرغگریزپا
رخصت دهنده	مجیز
420	تک
صحرا و بیابان	وادی
از صور فلکی	اسد
حق نشناس	ناسپاس
آدمیزاد	بنیبشر
نویسنده کمدی الهی	دانته
ظرف چوبی که در آن گل یا خاک می‌ریزند	ناوه
شير	اسد
جانشینی	نیابت
پَر گشودن و پریدن پرندگان	پرواز
نوعی سس	مایونز
نام‌ها	اسما
نرم تر	ارخم
دوستدار	محب
از حروف مقطعه قرآن	الم
معادل فارسی روبات	ادماهنی
پیت و بشکه	چلیک
کارآزموده و مجرب	باتجربه
شنا	ابتنی
بی بهره	مخذول
هم صحبتی و گفتگو	مصاحبا
تار عنکبوت	کارتونک
آبزی درودگر!	ارهماهی
تمامی	همگی
کارگردان هالیوودی	کاپولا
چینه گِلی	دای
عیب جو و ایرادگیر	خردهگیر
دروازه بان بزرگ و سابق تیم ملی روسیه	یاشین
تعاون	همیاری
راستی و درستی و پاکی	ارتا
فن آوری روز دنیا	نانو
چنان‌که به‌ نظر می‌آید	ظاهرا
کلاه ویژه شاهان	تاج
حرف فراری	جیم
دچار دلهره بودن	بالبالزدن
زمین ناهموار	ماهور
خوش گذران	عیاش
فیلمی از رومن پولانسکی	دروازهنهم
یار میز	صندلی
دردمند	متالم
گلر فوتبال	سنگربان
مؤلف تاریخ اجتماعی ایران	راوندی
سرنوشت	تقدیر
معادل فارسی تاکسیدرمیست	اکندهساز
دالان زیرزمینی	نقب
از پوشاک مخصوص بانوان	دامن
بحرانی و پرخطر	خطرناک
درشت نیست	ریز
جدا کننده دو چیز	حاجز
Pure	ناب
move	حرکت
مساوی و برابر	یکسان
پیر و سالخورده	فرتوت
از بازیگران سریال‌های طنز	هادیکاظمی
معادل فارسی اِف اِف	دربازکن
به پیشواز کسی‌رفتن	استقبال
ل د	لد
کوهی در استان کرمان	لالهزار
مرغزار	راغ
دارای دو واحد جدا	دوبلکس
اثری از آلبر کامو	سقوط
شایسته	لایق
مورد نیاز عکاس	دوربین
کنایه از دگرگون بودن اوضاع	قمردرعقرب
از کشورهای آفریقایی	جیبوتی
ساحل دریا	کناره
در نجاری زیاد است	میخ
پرنده خوش خوراک	تیهو
هویدا و آشکار	وغست
امانتدار و درستکار	امین
ماست ترکی	قاتق
داد و ستد	مبادله
به احتیاط نزدیک تر	احوط
بلندی اندام	قامت
حشمت و جاه	کوکبه
بیگانگان	اجانب
از گزارشگران ورزشي سيما	خیابانی
برابر	تساوی
کوهستانی در شمال غرب استان کرمانشاه	شاهو
مقابل تندی	کندی
hen	مرغ
خون	دم
میوه‌ای ‌گرمسیری	اناناس
پزشکی	طب
کتابی از آدولف هیتلر	نبردمن
خط نماد روی کالا	بارکد
گره روبان	رزت
اشاره جمع به نزدیک	اینها
مرکز شهرستان دشتستان	برازجان
دست چپ	یسار
مخفی شدن	اختفا
شهر مهم آلمان	مونیخ
درخت تبریزی	سپیدار
نی تو خالی	نال
نوعی تودوزی خودرو	لمسهدوزی
کنیه حضرت فاطمه(س)	امالایمه
معادل فارسی اکیپ	گروهمجهز
اثری از جرج‌الیوت	ادامبید
بی کس و یگانه	تنها
خبرهای نادرست	چو
قومی ایرانی	رل
Bag	کیف
سوره ۳۱ از قرآن است و ۳۴ آیه دارد	لقمان
پادشاه ماردوش	ضحاک
اثر تاریخی اصفهان	میداننقشجهان
لباس زمستانی	کاپشن
فیلمی از ابراهیم حاتمی کیا	بویپیراهنیوسف
کوزه سفالی	سبو
دولا شده	خم
کنسول نسل هفتم	وی
پارسایان و عابدان	زهاد
از مربیان فوتبال ایران	مرفاوی
از شاهان ساسانی	انوشیروان
از جامه زنانه	تاپ
شماره کردن	تعداد
چرخاننده	گرداننده
خدای مصریان قدیم	امون
دیر پز	نپز
پویایی	تحرک
خانه بزرگ	سرای
دشوار و سخت	شاق
Escape	فرار
نوعی پارچه نرم و ریز بافت پشمی	فلانل
از جانوران دوزیست	قورباغه
از شهرهای گیلان	چابکسر
ذوق و طبع	سلیقه
مظهر حیله	روباه
سوره روشنایی	نور
از اعداد دو رقمی	هجده
نژاد مردم روسیه	روس
بخشی از ترازو	کفه
راه و طریق	نحو
جا انداختن چيزهاي تازه و نوظهور	نهادینه
بیش از اندازه	زاید
عددی دو رقمی	هشتاد
فیلمی از حسینعلی لیالستانی	میزاک
غیر مونث	مذکر
مثل و شبیه بودن	همانندی
معادل فارسی GPS	مکانیاب
شهری در کانادا	تورنتو
نخل خرما به زبان زند و پازند	مگ
مادر جنوبی	یوما
بی خواب ماندن	احتمام
مبارک و فرخنده	خجسته
آش آرد	اگرا
کشوری در بریتانیا	ولز
همراه خل	چل
محل توقف وسایل نقلیه	ایستگاه
سرزمین برف و یخ روسیه	سیبری
میوه‌ای با خاصیت طبی	عناب
اهلی	رام
جانور قطبی	خرس
طلاکاری شده	زرکوب
قطعی‌شده	مسجل
موجب‌ترس و وحشت	وحشتناک
قوس های هلالی پیوسته	دالبر
از لهجه ها	لری
پشتیبان و حامی	پناه
فیلم کمال تبریزی	مهرمادری
تازه پیدا کردن، نوآوردن	استحداث
امتداد و کشیدگی	درازا
waste	تلف
ورزش توان سنجی	قدرتی
جای لنگر انداختن کشتی	بندرگاه
وسط حیاط	صحن
بارانداز و بندر	لنگرگاه
دختر سر و زبان دار	دردو
تکنیک ورزشی	فن
اسب سفید	هدنگ
بازداشتن	منع
درخت اعدام	دار
آسودگی	سبکباری
ابر برق دار	بارقه
شهری در افغانستان	فاریاب
مردان	رجال
world	دنیا
حقیقت و طبیعت چیزی	ماهیت
ستمکار	جابر
از پرندگان	قو
اتفاق و رویداد	ماجرا
کشور آفریقایی	اوگاندا
مسافر و رونده	راهی
زیر پای راننده‌ است	پدال
این واحد یکپارچه‌ترین شکل بین‌اجتماعی در فرانسه است	متروپول
نوعی خالکوبی	تتو
نوعی اسباب بازی	یویو
از شهرهای استان خوزستان	رامهرمز
ریشه گیاهی در کوه های تبت	زدوار
پیر و مسن	سالمند
فیلمی از مجید جوانمرد	مار
اثری از حمیدی شیرازی	طلسمشکسته
نسل و نژاد	تبار
عشایر	ایلات
کارگردان سریال پایتخت شش	سیروسمقدم
رودی در جمهوری آذربایجان	کورا
آب و هوای گرم و مرطوب ویژه مناطق ساحلی	شرجی
نوعی برادر و خواهر	تنی
از رژه می بینند	سان
جسور و گستاخ	جری
جای انباشت کالا	انبار
کاشف میکروب‌سل	کخ
End	اخر
جنگ داریوش سوم و اسکندر مقدونی	ایسوس
رسیدن به آرزو	کامروایی
مملکت و اقلیم	کشور
دروغکی	الکی
سخندانان	ادبا
فیلمی از استیون گاگان	سیریانا
ولگردی	پرسه
بینی فیل	خرطوم
مهتر قوم	نقیب
پارچه عریض	دولا
پهلو	بنج
از حواریون حضرت عیسی(ع)	یوحنا
ماه نهم سال شمسی	اذر
رودها	انهار
از بازیگران مجموعه آسپرین	زیبابروفه
بی چیزی و فقر	تنگدستی
لااقل	اقلا
دم و بازدم	نفس
واسطه میان خریدار و فروشنده	دلال
وسیله بازی بچه ها	تاب
شهر ترکیه	قونیه
نوعی اعدام	سنگسار
مرکز تابستانی ایالت جامو و کشمیر	سریناگار
واحد پول برزیل	کروز
دیندار	متدین
درخشان	روشن
استخوانی در بدن	کتف
یکی پس از دیگری	متناوب
پدر فریدون در شاهنامه	ابتین
سبزی سالاد	کاهو
از بین رفته	نابود
طول عمر	سن
شهر حمام فین	کاشان
کمیاب شدن چیزی	ندر
رستگاری	هدا
از پرندگان	پرستو
کنایه از تاریکی هوا	گرگومیش
تسلی دهنده	دلجو
مویز	سیج
رودی در آذربایجان	کورا
مرکز شهرستان لنجان استان اصفهان	زرینشهر
از ظروف پر مصرف آشپزخانه	تابه
می گویند مرده است	نسیه
درخواست از خداوند	دعا
Way	راه
ترکیب ید با عناصر	یدور
ارادت به کسی قبل از آشنایی	غایبانه
پرنده ترازو نشین	شاهین
خوشرفتاری	مسالمت
شهری در شیلی	اریکا
ادیب انگلیسی قرن 18	جانسون
فیلمی از آرش معیریان	انکهدریامیرود
نوعی پارچه	ورنا
حزن، گرفتگی دل	اندوه
دریافت کردن	ستدن
کاغذ ضخیم	مقوا
صادق و درستکار	نیکوکار
شهر مذهبی	ری
مقام و منزلت	مرتبه
عنوان تعدادی از پادشاهان ترک	ابازه
بیزار کردن	ابرا
نام قدیم میانه	میانج
معادل فارسی فلاسک	دمابان
پشتگرمی	اتکا
دانه نهانزایان	هاگ
نام جدید فیس‌بوک	متا
شاعر انگلیسی	بلیک
شایسته و مستحق	سزاوار
نوعی از بتن	ارمه
سطل آبکشی	دلو
بیماری درد مفاصل	رماتیسم
مرکز ایالت آرکانزاس	لیتلراک
وسیله مورد نیاز نجار	اره
زود و فوری	سریع
سازمان پیمان مرکزی	سنتو
نی میان‌تهی	نال
uproar	بلوا
جنایتکار	جانی
عارف	خداشناس
هم معنی	مترادف
عظیم الجثه	یغر
معشوق زیباروی	ماه
داخل حاشیه	متن
پسر رستم در شاهنامه	فرامرز
به شوق آمدن	هیجان
آش  انار	ناربا
تازه ساخته شده	نوساز
شیرینی ماه مبارک رمضان	زولبیا
فیلمنامه نویس	سناریست
baker	نانوا
جمع مره	مرر
شایسته	سزاوار
حتمی بودن	قطعیت
stain	لک
شفاهی	زبانی
زن باحجاب 	مخدره
بانگ قمری	وت
دوره‌گرد و دست‌فروش	پیلهور
چوبه اعدام	دار
سنگ ترازو	وزنه
چکیده	فشرده
مزه ناگوار	تلخ
سلامتی	صحت
آهنگر	نیماهت
پرآب ترین رود ایران	کارون
هر صندلی دارد	پایه
گونی	کیسه
اتومبیل	خودرو
سازمان آموزشی، علمی و فرهنگی سازمان ملل متحد	یونسکو
چهره	صورت
سوغات ساوه	انار
نقشه فرنگی	مپ
پرحرف	گزافهگو
مقابل تشنه	سیراب
باطل و بیهوده	زاهق
پایتخت گینه بیسائو	بیسایو
نقاش و گراور ساز آلمانی	دورر
روز بزرگداتش امروز است	فردوسی
referee	داور
مورد بحث قرار گرفته	مطرح
یار جارو	خاکانداز
چرب و شیرین	لوشانه
سردار نامی مقدونی	اسکندر
پاکی و روشنی	صفا
اتوبانی در تهران	شهیدهمت
نقش و نگار جامه	اسلیمی
فریاد	غریو
جدید و امروزی	مدرن
دلیر و پهلوان	نیرم
گلر سابق رئال‌مادرید	کاسیاس
قرار گرفته	واقع
همراه اسطرلاب	رمل
شاعر، نمایش‌نامه نویس و رمان‌نویس قرن نوزدهم میلادی اهل فرانسه	نروال
بزرگتر	اکبر
از خودروهای شرکت سایپا	پراید
خواب کوتاه	چرت
پنداری و شاید	گویی
فیلم خنده‌دار	کمدی
احسان شده	محسن
اتصال و وابستگی	ربط
مخفی	سری
فرشته	پری
اجداد و سلف	نیا
عریان	برهنه
شهری در استان آذربایجان شرقی	اسکو
لاغر و ضعیف	تکیده
گاو تبتی	یاک
trust	امانت
گیاهی خودرو	جودر
لنگه در و پنجره	تا
ارثی	موروثی
از شهرهاي اکوادور	امباتو
Check	بررسی
آزادی و نجات	رهایی
جوان و دلیر	نیو
حرکتی در ژیمناستیک	مانت
از ریشه درآوردن	ازبنبرکندن
ورقه چاپی تبلیغاتی	افیش
مهارت و استادی	زبردستی
وضو	دستنماز
مغازه لباس فروشی 	بوتیک
پدر ارشمیدس	فیدیاس
کالری ‌متر	گرماسنج
از ماه‌های سال قمری	شعبان
متورم	اماسیده
عضو راه رونده	پا
دوباره کاری	تکرار
138	مسلح
معادل فارسی دکوراتور	ارایهگر
شهری در استان اصفهان	چادگان
طاقت و توان	تاو
دست زده	بسوده
پایه و اساس	رکن
دو نفر که به یک زبان صحبت کنند	همزبان
راز و نیاز با خدا	مناجات
از آثار پل سارتر	مگسها
بیت الحرم در این شهر است	مکه
اخضر	ابیکبود
Depth	عمق
پول وجه	وجه
دزد سرگردنه	راهزن
استوار ساختن	تحکیم
امر پنهان	راز
تیراندازی اساطیری	ارش
آهنگساز روزگار خسرو پرويز	دبلهپ
صدای پنجری	فس
نوعی فولکس واگن	جتا
نوعی نان فانتزی	شیرمال
فیلسوف آلمانی مولف کتاب سپیده دمان	نیچه
کنایه از: آدم ترسو، بی کفایت و وابسته به دیگران	بچهننه
help	کمک
بی باک و پردل	نترس
یکی از زمینه‌های کاری عمر خیام	اخترشناسی
اثر تاریخی کازرون	تنگچوگان
روستایی از توابع بخش مرکزی شهرستان مهریز در استان یزد	ادرو
نوعی مدل یخچال	سایدبایساید
نادان	جاهل
جلسه بزرگداشت	یادمان
به حضور خواستن	استحضار
در بازوست	زور
ملقب به سردارملی	ستارخان
نخستین پادشاه مغول شیعه	خدابنده
کناره دریا	ساحل
38	زال
دوستان و رفقا	یاران
گوزن	اراخ
از ضمایر	ما
نفت	پترولیوم
از شهرهای افغانستان	اناردره
جور و ستم	جفا
شیرینی اصیل ایرانی	باسلوق
دلیر و جنگاور	جنگازموده
استخوان نازک روی سرانگشت دست و پا	ناخن
پانتومیم	ادابازی
Twist	تاب
از متوفی به جا می‌ماند	ارث
خواننده قرآن	قاری
بی حرکت	ثابت
جایگاه دو شاخه برق	پریز
حلقه فلزی کنار زین اسب	رکاب
ثابت و محكم	مرکوز
در مَثَل به نوبت است	اسیاب
گناهکار	وزری
مروارید دهان	دندان
مقابل چرک‌نویس	پاکنویس
دختر آذری	قز
لقبی برای پادشاهان	صاحبقران
پوشش شیشه ای یا پلاستیکی که روی چراغ می گذارند	حباب
صندوق‌خانه کوچک	پستو
اسب جلد و تند و تیز	سیس
خبر رسواگر	لو
انعکاس صدا در کوه	سدا
زیان و نقصان	ضبن
کاشف واکسن سرخجه	ولر
نژاد مردم روسیه	روسی
روانداز	پتو
نوعی دست‌خط	ناخوانا
آجر پز	فخار
از شهرهای استان فارس	زرقان
نوعی نوشیدنی	قهوه
261	سار
شهرداری قدیم	بلدیه
شهري در روسيه	یاروسلاول
رایگان و مفت	مجانی
فیلمی با بازی پارسا پیروزفر	مرسدس
نجات یافته	ناجی
دستگاه مبدل امواج ماهواره ای	ریسیور
شهری در جنوب غربی ایران	یاسوج
از سازندگان تلفن همراه	نوکیا
نوعی محل و روش تدفین انسان	گورخمره
رودست خوردن	رکب
راه عبور	ممر
موشک کروز ایرانی	مشکات
فلز زینک	روی
خوابیدن	نوم
trachea	نای
میوه باب گلو	هلو
خون آشام	خونخوار
از حروف یونانی	سیگما
وقار و ابهت	هیمنه
man	انسان
